Index,Visual,Somatomotor,DorsalAttn,SalVentAttn,Limbic,FrontoParietal,DefaultMode,Complete
Sub_1_LSD,0.417059615388051,0.38068803708164506,0.4489666136594586,0.39845833902746586,0.4010005884698766,0.4036678251069224,0.40484745053603616,0.4224577139180368
Sub_1_PLB,0.508690717904109,0.4996732011964182,0.5801077739880794,0.5027655473438551,0.5584167652686377,0.5755439022499385,0.5333128724576609,0.5588571327863519
Sub_2_LSD,0.5719108294081142,0.5662319541489047,0.5831598398952756,0.6163043326235489,0.572321206683614,0.5358441151447176,0.5759384608332011,0.5907888668638128
Sub_2_PLB,0.6106850212901175,0.6439830416085844,0.6311623146917854,0.6088919080833796,0.5715892883618664,0.6014386939111066,0.5935289574545862,0.5885805924245089
Sub_3_LSD,0.6086675434134917,0.6327543031466155,0.6193953466266154,0.6097885035805296,0.6100008559688637,0.5783769750773323,0.5947210689037362,0.6063279208003264
Sub_3_PLB,0.5805364055937722,0.5892051456201125,0.5611768318435547,0.5458067941492101,0.5670907748270989,0.5179985582163756,0.5313970764496424,0.5459722493569521
Sub_4_LSD,0.6098424016233376,0.5922886531832217,0.5626835949555306,0.5993871035881454,0.5902374664407265,0.5910612597132407,0.6541933743491793,0.6284535633372688
Sub_4_PLB,0.621567763025062,0.6723611556426344,0.5885000711570997,0.5636180398964284,0.5874938405000475,0.5683572615111904,0.58681035146892,0.593676196421774
Sub_5_LSD,0.5996162914614144,0.5614211460000421,0.5814007791468678,0.637836328666516,0.5710908091255975,0.6451233678461006,0.6150365660895517,0.5745439743205966
Sub_5_PLB,0.6527541841576331,0.6682815608827668,0.6256394107829005,0.6237208814342353,0.5847085159194496,0.5576588513615449,0.5544411087709756,0.6046452909476862
Sub_6_LSD,0.5795173462230323,0.5767319968003278,0.5332734091030008,0.5364578776496006,0.543168499483128,0.5469312291474949,0.5629859192194814,0.5388196263866957
Sub_6_PLB,0.5917771339342314,0.6394944567840997,0.5775772295611545,0.5846387399831908,0.5733124336103242,0.5916328621396661,0.5650377155602456,0.5651962702890941
Sub_7_LSD,0.6174091939243666,0.5951230408767928,0.6011739942409932,0.599245508641577,0.5948573398246045,0.6057065572167336,0.5612562226097906,0.6025203947849711
Sub_7_PLB,0.6275606344872379,0.607654236176839,0.6497408483834517,0.6265787337323155,0.651403855687994,0.6427516167958741,0.6149981655346098,0.624722224482593
Sub_8_LSD,0.5560716646754135,0.6081411088886524,0.5847510521764628,0.5495980923935021,0.57712837216381,0.5366041739310953,0.5823649634410653,0.5511185430737832
Sub_8_PLB,0.5905290218996848,0.6616081359065858,0.6208993805256574,0.6310526638638648,0.636028552422334,0.6318981699148997,0.5557372889385739,0.6170979537672309
Sub_9_LSD,0.5511901672712542,0.5832627105777926,0.5869566812911163,0.5834884184042618,0.5389587781506339,0.5440398224686798,0.49027151061494384,0.5706854684420626
Sub_9_PLB,0.5979663405666621,0.6108272623397893,0.6069480344863614,0.6324567234354822,0.5871306357331992,0.570508211720626,0.5803864570686176,0.5939304905588302
Sub_10_LSD,0.6261928200615108,0.6450471121453386,0.624069762515862,0.6210558527098796,0.6332004186577794,0.6071287390382619,0.5908557229595716,0.6187766556278301
Sub_10_PLB,0.6090461482171922,0.54457105526821,0.6029298389596213,0.5828232883425571,0.5865799863992608,0.5815045070354564,0.5750039740023402,0.5943238862090909
Sub_11_LSD,0.6229413040100863,0.5546038843456923,0.6051119197928775,0.5776098649547009,0.5842491133809001,0.6378761815171151,0.609753913142367,0.5901964057546589
Sub_11_PLB,0.5655796925014794,0.5294969236046146,0.5422945787087533,0.5625676557087643,0.5559130394396714,0.5375032860205987,0.5212037367732586,0.5344590559540129
Sub_12_LSD,0.4829165766312408,0.4494537014828979,0.47636896760152997,0.4280313376521104,0.43632791965332185,0.42234750389360864,0.39915860530671504,0.4447443803663979
Sub_12_PLB,0.4971643771241907,0.5258775766903259,0.551547842160902,0.5337234001221848,0.5109058528820686,0.49057493014144765,0.5285493014633804,0.5260125293384973
Sub_13_LSD,0.6327473657847873,0.6041031632590008,0.5619553219057458,0.6202690613745707,0.6114469054369237,0.5965933574188137,0.6228469256282113,0.6094535716448176
Sub_13_PLB,0.6490320050807025,0.6478289208831761,0.6645413564530068,0.6290102838502061,0.699598176184448,0.6464740555764733,0.6110098578150662,0.7241773387986371
Sub_14_LSD,0.6530290987150158,0.5917572082511341,0.6118550464559294,0.6537294087596522,0.6105217306628666,0.6357758022148264,0.5944200680959283,0.6038090653318872
Sub_14_PLB,0.5542330871382047,0.5786065026051878,0.5518013436965203,0.5684022551580887,0.5403408963772388,0.552451492247047,0.5495434958084494,0.5620578274846011
Sub_15_LSD,0.5481901113466588,0.5104647617128405,0.5363331695665162,0.5286227413470167,0.5225041959520976,0.5501247706047733,0.5147077037048104,0.5112057313051737
Sub_15_PLB,0.5637961444307812,0.5861556053491285,0.5776803263710089,0.5503725527435203,0.573973857582781,0.5744525243530063,0.577477518736788,0.5795319282619169
